

 number of simulation is --> 0



 number of simulation is --> 0



 number of simulation is --> 0

 S E I R
83 0.059 0.0719 0.0909 0.7785
84 0.0587 0.0671 0.0864 0.7881
85 0.0578 0.0632 0.0821 0.7972
86 0.0574 0.0591 0.078 0.8058
87 0.0572 0.0551 0.074 0.814
88 0.0563 0.052 0.0702 0.8218
89 0.056 0.0486 0.0666 0.8291
90 0.0557 0.0455 0.063 0.8361
91 0.0554 0.0426 0.0596 0.8427
92 0.0547 0.0403 0.0564 0.8489
93 0.0541 0.038 0.0534 0.8548
94 0.0535 0.0359 0.0505 0.8604
95 0.0534 0.0335 0.0477 0.8657
96 0.0529 0.0316 0.0451 0.8707
97 0.0528 0.0295 0.0426 0.8754
98 0.0527 0.0275 0.0403 0.8798
99 0.0526 0.0257 0.038 0.884
100 0.0523 0.0242 0.0359 0.8879
101 0.052 0.0228 0.0339 0.8916


 number of simulation is --> 18

 S E I R
0 1.0 0.0 0.0003 0.0
1 0.9998 0.0002 0.0003 0.0
2 0.9996 0.0004 0.0003 0.0
3 0.9994 0.0006 0.0003 0.0
4 0.9992 0.0008 0.0003 0.0
5 0.999 0.001 0.0003 0.0
6 0.9988 0.0012 0.0003 0.0
7 0.9986 0.0013 0.0004 0.0
8 0.9985 0.0013 0.0005 0.0
9 0.9983 0.0014 0.0006 0.0
10 0.9977 0.0019 0.0007 0.0
11 0.9971 0.0024 0.0008 0.0
12 0.9967 0.0026 0.0009 0.0001
13 0.9956 0.0035 0.001 0.0002
14 0.9947 0.0041 0.0012 0.0003
15 0.993 0.0054 0.0015 0.0004
16 0.9908 0.0071 0.0018 0.0006
17 0.9886 0.0087 0.0022 0.0008
18 0.9861 0.0104 0.0027 0.0011
19 0.9816 0.0139 0.0034 0.0014
20 0.976 0.0182 0.0043 0.0018
21 0.9705 0.0221 0.0054 0.0023
22 0.9631 0.0274 0.0068 0.003
23 0.9528 0.0351 0.0085 0.0039
24 0.9405 0.0441 0.0107 0.005
25 0.9265 0.054 0.0134 0.0064
26 0.9043 0.0708 0.017 0.0082
27 0.8787 0.0896 0.0215 0.0105
28 0.8487 0.1111 0.027 0.0135
29 0.8187 0.1311 0.0333 0.0172
30 0.7825 0.1554 0.0407 0.0217
31 0.7434 0.1807 0.0491 0.0271
32 0.7011 0.2071 0.0585 0.0336
33 0.6511 0.2388 0.0692 0.0412
34 0.6035 0.266 0.0807 0.0501
35 0.5546 0.2925 0.0928 0.0604
36 0.5109 0.3122 0.1052 0.072
37 0.4645 0.333 0.1178 0.085
38 0.4215 0.3492 0.1302 0.0994
39 0.382 0.361 0.1422 0.1151
40 0.3484 0.3665 0.1533 0.1321
41 0.3169 0.3696 0.1636 0.1502
42 0.2864 0.3716 0.1729 0.1694
43 0.2612 0.3685 0.1811 0.1895
44 0.2403 0.3616 0.1881 0.2103
45 0.2174 0.3571 0.194 0.2318
46 0.2001 0.3477 0.1987 0.2538
47 0.1847 0.3372 0.2022 0.2762
48 0.1709 0.326 0.2045 0.2989
49 0.1586 0.3142 0.2058 0.3217
50 0.1485 0.3012 0.2061 0.3445
51 0.1398 0.2878 0.2054 0.3673
52 0.131 0.2755 0.2039 0.3899
53 0.1218 0.2644 0.2018 0.4123
54 0.1141 0.2527 0.1991 0.4344
55 0.1088 0.2396 0.1958 0.4561
56 0.1042 0.2268 0.1919 0.4774
57 0.0981 0.2163 0.1877 0.4982
58 0.0936 0.2051 0.1831 0.5185
59 0.088 0.1957 0.1783 0.5383
60 0.0827 0.1867 0.1734 0.5575
61 0.0804 0.1755 0.1683 0.5761
62 0.0767 0.1664 0.163 0.5942
63 0.0745 0.1566 0.1575 0.6117
64 0.0728 0.147 0.152 0.6285
65 0.0706 0.1386 0.1464 0.6447
66 0.0689 0.1303 0.1408 0.6603
67 0.0669 0.1229 0.1352 0.6753
68 0.0652 0.1157 0.1297 0.6897
69 0.063 0.1095 0.1243 0.7035
70 0.0619 0.1027 0.119 0.7167
71 0.0609 0.0963 0.1138 0.7293
72 0.0599 0.0904 0.1087 0.7413
73 0.0587 0.0851 0.1037 0.7528
74 0.0576 0.0801 0.0989 0.7637
75 0.0568 0.0752 0.0942 0.7741
76 0.0564 0.0702 0.0897 0.784
77 0.0559 0.0657 0.0853 0.7934
78 0.0553 0.0616 0.081 0.8024
79 0.0546 0.0579 0.0769 0.8109
80 0.0541 0.0543 0.0729 0.819
81 0.054 0.0506 0.0691 0.8266
82 0.0534 0.0476 0.0655 0.8338
83 0.0531 0.0445 0.0621 0.8406
84 0.0528 0.0416 0.0588 0.8471
85 0.052 0.0394 0.0557 0.8532
86 0.052 0.0366 0.0527 0.859
87 0.0516 0.0344 0.0498 0.8645
88 0.0511 0.0325 0.047 0.8697
89 0.0508 0.0305 0.0444 0.8746
90 0.0503 0.0288 0.042 0.8792
91 0.0501 0.027 0.0396 0.8836
92 0.0499 0.0253 0.0374 0.8877
93 0.0496 0.0238 0.0353 0.8916
94 0.0495 0.0222 0.0333 0.8953
95 0.0491 0.021 0.0315 0.8987
96 0.0489 0.0197 0.0297 0.902
97 0.0489 0.0183 0.028 0.9051
98 0.0488 0.0171 0.0264 0.908
99 0.0486 0.0161 0.0249 0.9107
100 0.0484 0.0152 0.0234 0.9133
101 0.0483 0.0143 0.022 0.9157


 number of simulation is --> 19

 S E I R
0 1.0 0.0 0.0003 0.0
1 0.9998 0.0002 0.0003 0.0
2 0.9996 0.0004 0.0003 0.0
3 0.9994 0.0006 0.0003 0.0
4 0.9992 0.0008 0.0003 0.0
5 0.999 0.001 0.0003 0.0
6 0.9988 0.0012 0.0003 0.0
7 0.9986 0.0013 0.0004 0.0
8 0.9984 0.0014 0.0005 0.0
9 0.9978 0.0019 0.0006 0.0
10 0.997 0.0026 0.0007 0.0
11 0.996 0.0034 0.0009 0.0
12 0.995 0.0041 0.0011 0.0001
13 0.9924 0.0063 0.0014 0.0002
14 0.99 0.0081 0.0018 0.0004
15 0.9846 0.0126 0.0025 0.0006
16 0.978 0.0179 0.0035 0.0009
17 0.9698 0.0243 0.0048 0.0014
18 0.9619 0.0299 0.0064 0.0021
19 0.9514 0.0376 0.0083 0.003
20 0.9379 0.0475 0.0108 0.0041
21 0.9192 0.0615 0.014 0.0056
22 0.8923 0.0821 0.0183 0.0076
23 0.8658 0.1009 0.0234 0.0102
24 0.8326 0.1246 0.0297 0.0134
25 0.7953 0.1504 0.0371 0.0175
26 0.7534 0.1786 0.0458 0.0225
27 0.7096 0.2066 0.0555 0.0286
28 0.6688 0.2298 0.0658 0.0359
29 0.6243 0.2548 0.0768 0.0444
30 0.5801 0.2777 0.0883 0.0542
31 0.5385 0.2965 0.1 0.0653
32 0.4955 0.3153 0.1118 0.0777
33 0.4508 0.3343 0.1238 0.0914
34 0.412 0.3465 0.1354 0.1064
35 0.3744 0.3567 0.1466 0.1226
36 0.3417 0.3616 0.157 0.14
37 0.3119 0.3635 0.1665 0.1584
38 0.2859 0.3617 0.1749 0.1778
39 0.2634 0.3568 0.1821 0.198
40 0.2413 0.3519 0.1882 0.2189
41 0.2209 0.3458 0.1933 0.2403
42 0.2036 0.3372 0.1973 0.2622
43 0.188 0.3276 0.2003 0.2844
44 0.1751 0.3162 0.2022 0.3068
45 0.1621 0.3057 0.2032 0.3293
46 0.1506 0.2946 0.2033 0.3518
47 0.1402 0.2833 0.2025 0.3743
48 0.131 0.2717 0.201 0.3966
49 0.1235 0.2593 0.1989 0.4186
50 0.1145 0.2492 0.1962 0.4404
51 0.1088 0.2367 0.193 0.4618
52 0.1025 0.2257 0.1893 0.4828
53 0.0984 0.2134 0.1852 0.5033
54 0.094 0.2023 0.1807 0.5233
55 0.0903 0.1913 0.1759 0.5428
56 0.0871 0.1807 0.1708 0.5617
57 0.0844 0.1703 0.1656 0.58
58 0.0812 0.1612 0.1602 0.5977
59 0.0789 0.1519 0.1547 0.6148
60 0.0762 0.1436 0.1492 0.6313
61 0.0742 0.1352 0.1437 0.6472
62 0.0718 0.1278 0.1382 0.6625
63 0.0698 0.1206 0.1327 0.6772
64 0.0684 0.1133 0.1273 0.6913
65 0.0667 0.1068 0.122 0.7048
66 0.0651 0.1007 0.1168 0.7177
67 0.0642 0.0944 0.1116 0.7301
68 0.0631 0.0887 0.1066 0.7419
69 0.0615 0.0839 0.1017 0.7532
70 0.0607 0.0787 0.097 0.7639
71 0.0602 0.0736 0.0924 0.7741
72 0.0594 0.0691 0.088 0.7838
73 0.0588 0.0648 0.0837 0.793
74 0.0582 0.0608 0.0795 0.8018
75 0.0573 0.0573 0.0756 0.8101
76 0.0567 0.0538 0.0718 0.818
77 0.056 0.0507 0.0681 0.8255
78 0.0557 0.0474 0.0646 0.8326
79 0.0549 0.0448 0.0612 0.8394
80 0.0542 0.0423 0.058 0.8458
81 0.0538 0.0397 0.0549 0.8519
82 0.0535 0.0372 0.052 0.8576
83 0.0532 0.0349 0.0492 0.863
84 0.0529 0.0327 0.0466 0.8681
85 0.0528 0.0305 0.0441 0.8729
86 0.0527 0.0285 0.0416 0.8775
87 0.0526 0.0266 0.0393 0.8818
88 0.0526 0.0247 0.0371 0.8859
89 0.0526 0.023 0.035 0.8897
90 0.0525 0.0215 0.033 0.8933
91 0.0523 0.0202 0.0311 0.8967
92 0.0523 0.0188 0.0293 0.8999
93 0.0521 0.0177 0.0276 0.9029
94 0.052 0.0166 0.026 0.9057
95 0.052 0.0155 0.0244 0.9084
96 0.0517 0.0147 0.023 0.9109
97 0.0516 0.0138 0.0216 0.9133
98 0.0516 0.0129 0.0203 0.9155
99 0.0515 0.0121 0.0191 0.9176
100 0.0515 0.0113 0.018 0.9195
101 0.0514 0.0106 0.017 0.9213


 number of simulation is --> 20

 S E I R
0 1.0 0.0 0.0003 0.0
1 0.9999 0.0001 0.0003 0.0
2 0.9998 0.0002 0.0003 0.0
3 0.9997 0.0003 0.0003 0.0
4 0.9996 0.0004 0.0003 0.0
5 0.9995 0.0005 0.0003 0.0
6 0.9994 0.0006 0.0003 0.0
7 0.9993 0.0007 0.0003 0.0
8 0.9992 0.0008 0.0003 0.0
9 0.9992 0.0008 0.0003 0.0
10 0.9991 0.0009 0.0003 0.0
11 0.999 0.001 0.0003 0.0
12 0.9989 0.0011 0.0003 0.0
13 0.9989 0.0011 0.0003 0.0
14 0.9988 0.0012 0.0003 0.0
15 0.9988 0.0012 0.0003 0.0
16 0.9987 0.0013 0.0003 0.0
17 0.9986 0.0013 0.0004 0.0
18 0.9982 0.0016 0.0005 0.0
19 0.9978 0.0019 0.0006 0.0
20 0.9972 0.0024 0.0007 0.0
21 0.9954 0.0039 0.0009 0.0001
22 0.9934 0.0055 0.0012 0.0002
23 0.9913 0.0071 0.0016 0.0003
24 0.9872 0.0104 0.0022 0.0005
25 0.9798 0.0166 0.0031 0.0008
26 0.9717 0.023 0.0044 0.0012
27 0.9619 0.0305 0.0061 0.0018
28 0.9501 0.0393 0.0082 0.0027
29 0.9387 0.0471 0.0107 0.0038
30 0.9244 0.0571 0.0135 0.0053
31 0.9096 0.0668 0.0168 0.0071
32 0.8871 0.083 0.0208 0.0094
33 0.86 0.1023 0.0258 0.0122
34 0.8265 0.1261 0.032 0.0157
35 0.7884 0.1525 0.0394 0.02
36 0.7427 0.1841 0.0482 0.0253
37 0.7019 0.2089 0.0578 0.0317
38 0.658 0.2348 0.0683 0.0392
39 0.616 0.2571 0.0792 0.048
40 0.5691 0.2823 0.0909 0.058
41 0.5256 0.3026 0.1027 0.0694
42 0.4852 0.3185 0.1145 0.0821
43 0.4434 0.3346 0.1262 0.0961
44 0.4039 0.3474 0.1377 0.1113
45 0.3663 0.3575 0.1487 0.1278
46 0.332 0.3639 0.159 0.1454
47 0.3017 0.3661 0.1684 0.1641
48 0.2744 0.3653 0.1769 0.1837
49 0.2505 0.3614 0.1843 0.2041
50 0.2266 0.3578 0.1907 0.2252
51 0.2067 0.3508 0.1959 0.2469
52 0.1895 0.3418 0.1999 0.2691
53 0.1741 0.3317 0.2029 0.2916
54 0.1603 0.3209 0.2048 0.3143
55 0.1477 0.3097 0.2058 0.3371
56 0.1376 0.297 0.2058 0.3599
57 0.129 0.2838 0.2049 0.3826
58 0.1215 0.2705 0.2032 0.4051
59 0.114 0.2582 0.2007 0.4274
60 0.1075 0.2458 0.1977 0.4493
61 0.1024 0.233 0.1941 0.4708
62 0.0974 0.221 0.19 0.4919
63 0.0938 0.2086 0.1854 0.5125
64 0.0902 0.1971 0.1805 0.5325
65 0.0864 0.1866 0.1754 0.5519
66 0.0836 0.1759 0.1701 0.5707
67 0.0809 0.1659 0.1646 0.5889
68 0.0779 0.1569 0.159 0.6065
69 0.075 0.1484 0.1534 0.6235
70 0.0731 0.1396 0.1477 0.6399
71 0.0707 0.1319 0.1421 0.6556
72 0.0688 0.1243 0.1365 0.6707
73 0.0674 0.1168 0.1309 0.6852
74 0.0655 0.1103 0.1254 0.6991
75 0.0641 0.1038 0.12 0.7124
76 0.0626 0.0978 0.1148 0.7251
77 0.0614 0.092 0.1097 0.7372
78 0.0605 0.0863 0.1047 0.7488
79 0.0593 0.0813 0.0999 0.7598
80 0.058 0.0767 0.0953 0.7703
81 0.0568 0.0724 0.0908 0.7803
82 0.0562 0.0678 0.0864 0.7899
83 0.0556 0.0636 0.0821 0.799
84 0.0551 0.0596 0.078 0.8076
85 0.0546 0.0559 0.074 0.8158
86 0.054 0.0525 0.0702 0.8236
87 0.0531 0.0496 0.0666 0.831
88 0.0525 0.0467 0.0631 0.838
89 0.052 0.0439 0.0598 0.8446
90 0.0511 0.0416 0.0567 0.8509
91 0.0508 0.039 0.0537 0.8568
92 0.0506 0.0364 0.0509 0.8624
93 0.0505 0.0339 0.0482 0.8677
94 0.0497 0.0323 0.0456 0.8727
95 0.0497 0.03 0.0432 0.8774
96 0.0494 0.0282 0.0408 0.8819
97 0.0494 0.0262 0.0386 0.8861
98 0.0493 0.0245 0.0364 0.8901
99 0.0489 0.0232 0.0343 0.8939
100 0.0486 0.0219 0.0324 0.8974
101 0.0484 0.0206 0.0306 0.9007


 number of simulation is --> 21

 S E I R
0 1.0 0.0 0.0003 0.0
1 0.9995 0.0005 0.0003 0.0
2 0.999 0.001 0.0003 0.0
3 0.9985 0.0014 0.0004 0.0
4 0.9979 0.0019 0.0005 0.0
5 0.9973 0.0024 0.0006 0.0
6 0.9967 0.0028 0.0008 0.0
7 0.9953 0.0039 0.001 0.0001
8 0.992 0.0067 0.0014 0.0002
9 0.9878 0.0102 0.0019 0.0004
10 0.9818 0.0151 0.0027 0.0007
11 0.975 0.0204 0.0038 0.0011
12 0.9655 0.0278 0.0054 0.0016
13 0.9543 0.0363 0.0073 0.0024
14 0.9426 0.0446 0.0097 0.0034
15 0.9265 0.0564 0.0126 0.0048
16 0.9095 0.0682 0.0161 0.0065
17 0.891 0.0806 0.02 0.0087
18 0.8647 0.0993 0.0249 0.0114
19 0.8289 0.1255 0.0311 0.0148
20 0.7862 0.1562 0.0388 0.0191
21 0.7391 0.1888 0.048 0.0244
22 0.6905 0.2205 0.0585 0.0308
23 0.6427 0.2492 0.0699 0.0385
24 0.5967 0.2742 0.0819 0.0475
25 0.5529 0.2953 0.0942 0.0579
26 0.5113 0.3129 0.1064 0.0697
27 0.4702 0.3288 0.1185 0.0828
28 0.4301 0.3426 0.1304 0.0972
29 0.3905 0.3549 0.142 0.1129
30 0.3515 0.3658 0.1531 0.1299
31 0.3201 0.3689 0.1633 0.148
32 0.2915 0.3692 0.1725 0.1671
33 0.2642 0.3682 0.1808 0.1871
34 0.2432 0.3614 0.1878 0.2079
35 0.2235 0.3539 0.1935 0.2294
36 0.2061 0.3448 0.198 0.2514
37 0.1904 0.3348 0.2014 0.2737
38 0.1773 0.3231 0.2036 0.2963
39 0.1653 0.3112 0.2048 0.319
40 0.1546 0.299 0.205 0.3417
41 0.1447 0.2869 0.2043 0.3644
42 0.1363 0.2743 0.2028 0.3869
43 0.1279 0.2626 0.2007 0.4091
44 0.1193 0.2519 0.198 0.4311
45 0.1129 0.2399 0.1948 0.4527
46 0.1067 0.2286 0.1911 0.4739
47 0.1016 0.2171 0.187 0.4946
48 0.097 0.2059 0.1826 0.5148
49 0.0928 0.1951 0.1779 0.5345
50 0.0884 0.1853 0.1729 0.5537
51 0.0839 0.1763 0.1678 0.5723
52 0.0808 0.1666 0.1626 0.5903
53 0.0775 0.1578 0.1573 0.6077
54 0.0757 0.1482 0.1519 0.6245
55 0.0739 0.1393 0.1464 0.6407
56 0.0717 0.1314 0.1409 0.6563
57 0.0697 0.1239 0.1354 0.6713
58 0.0685 0.1162 0.1299 0.6857
59 0.0669 0.1094 0.1245 0.6995
60 0.0662 0.1023 0.1191 0.7127
61 0.0653 0.0959 0.1138 0.7253
62 0.0642 0.0901 0.1087 0.7373
63 0.0632 0.0846 0.1037 0.7488
64 0.062 0.0797 0.0989 0.7597
65 0.061 0.075 0.0942 0.7701
66 0.0601 0.0705 0.0897 0.78
67 0.0592 0.0663 0.0854 0.7894
68 0.0583 0.0624 0.0812 0.7984
69 0.0576 0.0586 0.0772 0.8069
70 0.0573 0.0547 0.0733 0.815
71 0.0567 0.0514 0.0695 0.8227
72 0.0561 0.0483 0.0659 0.83
73 0.0558 0.0452 0.0624 0.8369
74 0.0554 0.0424 0.0591 0.8434
75 0.055 0.0398 0.0559 0.8496
76 0.0544 0.0376 0.0529 0.8554
77 0.054 0.0353 0.0501 0.8609
78 0.0539 0.0329 0.0474 0.8661
79 0.0536 0.0309 0.0448 0.871
80 0.0535 0.0288 0.0423 0.8757
81 0.0533 0.027 0.0399 0.8801
82 0.053 0.0254 0.0377 0.8842
83 0.0528 0.0238 0.0356 0.8881
84 0.0524 0.0225 0.0336 0.8918
85 0.0521 0.0212 0.0317 0.8953
86 0.052 0.0198 0.0299 0.8986
87 0.0517 0.0187 0.0282 0.9017
88 0.0516 0.0175 0.0266 0.9046
89 0.0514 0.0165 0.0251 0.9073
90 0.0513 0.0155 0.0236 0.9099
91 0.0513 0.0144 0.0223 0.9123
92 0.0513 0.0134 0.021 0.9146
93 0.0513 0.0125 0.0198 0.9167
94 0.0512 0.0117 0.0187 0.9187
95 0.0511 0.011 0.0176 0.9206
96 0.0511 0.0103 0.0165 0.9224
97 0.0511 0.0096 0.0155 0.9241
98 0.0511 0.009 0.0145 0.9257
99 0.0508 0.0087 0.0136 0.9272
100 0.0508 0.0081 0.0128 0.9286
101 0.0508 0.0076 0.012 0.9299


 number of simulation is --> 22

 S E I R
0 1.0 0.0 0.0003 0.0
1 0.9994 0.0006 0.0003 0.0
2 0.9989 0.0011 0.0003 0.0
3 0.9983 0.0016 0.0004 0.0
4 0.9977 0.0021 0.0005 0.0
5 0.9971 0.0026 0.0006 0.0
6 0.9962 0.0033 0.0008 0.0
7 0.9948 0.0044 0.001 0.0001
8 0.9935 0.0053 0.0013 0.0002
9 0.9908 0.0075 0.0017 0.0003
10 0.9871 0.0104 0.0023 0.0005
11 0.9837 0.0129 0.0029 0.0008
12 0.9804 0.0151 0.0036 0.0012
13 0.973 0.0209 0.0047 0.0017
14 0.9657 0.0262 0.0061 0.0023
15 0.9533 0.0359 0.008 0.0031
16 0.9369 0.0486 0.0106 0.0042
17 0.9214 0.0596 0.0136 0.0057
18 0.902 0.0734 0.0173 0.0076
19 0.879 0.0896 0.0217 0.01
20 0.8536 0.1068 0.027 0.0129
21 0.824 0.1267 0.0331 0.0165
22 0.7888 0.1504 0.0402 0.0209
23 0.7483 0.1773 0.0485 0.0262
24 0.7044 0.2054 0.0579 0.0326
25 0.6606 0.2314 0.0682 0.0401
26 0.611 0.261 0.0794 0.0489
27 0.5646 0.2855 0.0912 0.059
28 0.5207 0.3059 0.1033 0.0704
29 0.4767 0.325 0.1154 0.0832
30 0.4323 0.3431 0.1276 0.0973
31 0.3965 0.3519 0.1392 0.1127
32 0.3639 0.3571 0.15 0.1293
33 0.3321 0.3612 0.16 0.147
34 0.301 0.3643 0.1692 0.1658
35 0.2743 0.3631 0.1774 0.1855
36 0.2526 0.3574 0.1844 0.2059
37 0.2299 0.353 0.1904 0.227
38 0.2127 0.3438 0.1952 0.2486
39 0.1957 0.3351 0.1989 0.2706
40 0.1796 0.3262 0.2016 0.2929
41 0.1662 0.3154 0.2033 0.3154
42 0.1531 0.3051 0.2041 0.338
43 0.1415 0.2941 0.2041 0.3606
44 0.1318 0.2821 0.2033 0.3831
45 0.1229 0.2703 0.2016 0.4055
46 0.1151 0.2583 0.1993 0.4276
47 0.1085 0.246 0.1964 0.4494
48 0.1029 0.2337 0.1929 0.4708
49 0.0972 0.2223 0.189 0.4918
50 0.0927 0.2106 0.1847 0.5123
51 0.0886 0.1994 0.18 0.5323
52 0.0853 0.1883 0.175 0.5517
53 0.0825 0.1775 0.1698 0.5705
54 0.0795 0.1677 0.1644 0.5887
55 0.0774 0.1577 0.1589 0.6063
56 0.0755 0.1482 0.1533 0.6233
57 0.0734 0.1396 0.1476 0.6397
58 0.0714 0.1315 0.142 0.6554
59 0.0699 0.1235 0.1364 0.6705
60 0.0684 0.1161 0.1308 0.685
61 0.0668 0.1093 0.1253 0.6989
62 0.0658 0.1025 0.1198 0.7122
63 0.0641 0.0968 0.1145 0.7249
64 0.0632 0.0908 0.1093 0.737
65 0.0621 0.0854 0.1043 0.7485
66 0.0611 0.0803 0.0994 0.7595
67 0.0603 0.0754 0.0946 0.77
68 0.0594 0.0709 0.09 0.78
69 0.0584 0.0668 0.0856 0.7895
70 0.0579 0.0625 0.0814 0.7985
71 0.0573 0.0586 0.0774 0.807
72 0.0567 0.055 0.0735 0.8151
73 0.056 0.0518 0.0697 0.8228
74 0.0557 0.0484 0.0661 0.8301
75 0.0552 0.0455 0.0626 0.837
76 0.0549 0.0426 0.0593 0.8435
77 0.0547 0.0398 0.0561 0.8497
78 0.0547 0.037 0.0531 0.8555
79 0.0544 0.0347 0.0502 0.861
80 0.0542 0.0325 0.0474 0.8662
81 0.0542 0.0302 0.0448 0.8711
82 0.0542 0.0281 0.0423 0.8757
83 0.0538 0.0265 0.0399 0.8801
84 0.0536 0.0248 0.0377 0.8842
85 0.0534 0.0233 0.0355 0.8881
86 0.0534 0.0217 0.0334 0.8918
87 0.0533 0.0203 0.0315 0.8952
88 0.0532 0.019 0.0297 0.8984
89 0.053 0.0179 0.0279 0.9015
90 0.0529 0.0168 0.0262 0.9044
91 0.0529 0.0156 0.0247 0.9071
92 0.0529 0.0145 0.0233 0.9096
93 0.0528 0.0136 0.0219 0.912
94 0.0528 0.0127 0.0206 0.9142
95 0.0527 0.0119 0.0194 0.9163
96 0.0527 0.0111 0.0182 0.9183
97 0.0526 0.0104 0.0171 0.9202
98 0.0525 0.0098 0.0161 0.9219
99 0.0524 0.0092 0.0152 0.9235
100 0.0524 0.0086 0.0143 0.925
101 0.0523 0.0081 0.0135 0.9264


 number of simulation is --> 23

 S E I R
0 1.0 0.0 0.0003 0.0
1 0.9998 0.0002 0.0003 0.0
2 0.9996 0.0004 0.0003 0.0
3 0.9994 0.0006 0.0003 0.0
4 0.9992 0.0008 0.0003 0.0
5 0.9991 0.0009 0.0003 0.0
6 0.999 0.001 0.0003 0.0
7 0.9988 0.0012 0.0003 0.0
8 0.9986 0.0013 0.0004 0.0
9 0.9983 0.0015 0.0005 0.0
10 0.9978 0.0019 0.0006 0.0
11 0.9973 0.0023 0.0007 0.0
12 0.9967 0.0027 0.0009 0.0
13 0.9957 0.0035 0.001 0.0001
14 0.9947 0.0042 0.0012 0.0002
15 0.9926 0.0059 0.0015 0.0003
16 0.9894 0.0085 0.0019 0.0005
17 0.9852 0.0118 0.0026 0.0007
18 0.9806 0.0153 0.0034 0.001
19 0.9744 0.02 0.0045 0.0014
20 0.9663 0.0261 0.0059 0.002
21 0.9534 0.0363 0.0078 0.0028
22 0.9393 0.0468 0.0103 0.0039
23 0.923 0.0586 0.0134 0.0053
24 0.9061 0.0702 0.0169 0.0071
25 0.8886 0.0815 0.0208 0.0094
26 0.8655 0.0972 0.0254 0.0122
27 0.8362 0.1175 0.031 0.0156
28 0.7984 0.1443 0.0378 0.0198
29 0.7527 0.1765 0.0462 0.0249
30 0.7065 0.2068 0.0559 0.0311
31 0.6593 0.2359 0.0666 0.0385
32 0.609 0.2658 0.0783 0.0472
33 0.5648 0.2879 0.0904 0.0572
34 0.5226 0.3066 0.1026 0.0685
35 0.4795 0.3248 0.1148 0.0812
36 0.4366 0.3415 0.1269 0.0953
37 0.399 0.3521 0.1386 0.1106
38 0.3616 0.3617 0.1498 0.1272
39 0.3298 0.3654 0.1602 0.1449
40 0.3013 0.3658 0.1695 0.1637
41 0.2742 0.3649 0.1778 0.1834
42 0.252 0.3595 0.1849 0.2039
43 0.2308 0.3536 0.1908 0.2251
44 0.2137 0.3443 0.1955 0.2468
45 0.1979 0.3344 0.1991 0.2689
46 0.1816 0.3257 0.2017 0.2913
47 0.1673 0.3158 0.2034 0.3138
48 0.1559 0.3039 0.2041 0.3364
49 0.1442 0.2931 0.204 0.359
50 0.1338 0.2819 0.2031 0.3815
51 0.1265 0.2686 0.2014 0.4038
52 0.1188 0.2566 0.199 0.4259
53 0.1133 0.2434 0.196 0.4476
54 0.1068 0.2321 0.1925 0.4689
55 0.1013 0.2207 0.1885 0.4898
56 0.0947 0.2111 0.1843 0.5102
57 0.0906 0.1999 0.1797 0.5301
58 0.0856 0.1903 0.1749 0.5495
59 0.0822 0.1799 0.1699 0.5683
60 0.079 0.1701 0.1647 0.5865
61 0.076 0.1608 0.1593 0.6042
62 0.0736 0.1516 0.1539 0.6212
63 0.0718 0.1425 0.1484 0.6376
64 0.0704 0.1337 0.1428 0.6534
65 0.0685 0.126 0.1372 0.6686
66 0.0675 0.118 0.1316 0.6832
67 0.0663 0.1107 0.1261 0.6972
68 0.0653 0.1038 0.1206 0.7106
69 0.0643 0.0974 0.1152 0.7234
70 0.0628 0.0919 0.11 0.7356
71 0.0612 0.0869 0.105 0.7472
72 0.0608 0.0811 0.1001 0.7583
73 0.0601 0.076 0.0954 0.7688
74 0.0592 0.0715 0.0908 0.7788
75 0.0585 0.0671 0.0864 0.7883
76 0.0579 0.0629 0.0821 0.7974
77 0.0571 0.0592 0.078 0.806
78 0.0567 0.0554 0.074 0.8142
79 0.0562 0.052 0.0702 0.8219
80 0.0555 0.049 0.0666 0.8292
81 0.0553 0.0457 0.0631 0.8362
82 0.0542 0.0435 0.0598 0.8428
83 0.0537 0.0409 0.0567 0.849
84 0.0533 0.0384 0.0537 0.8549
85 0.0532 0.0358 0.0508 0.8605
86 0.0531 0.0334 0.048 0.8658
87 0.053 0.0312 0.0453 0.8708
88 0.0528 0.0292 0.0428 0.8755
89 0.0526 0.0273 0.0405 0.8799
90 0.0525 0.0255 0.0382 0.8841
91 0.0524 0.0238 0.036 0.8881
92 0.0523 0.0222 0.034 0.8918
93 0.0522 0.0208 0.032 0.8953
94 0.0522 0.0194 0.0301 0.8986
95 0.052 0.0182 0.0284 0.9017
96 0.0518 0.0171 0.0268 0.9046
97 0.0516 0.0161 0.0252 0.9074
98 0.0515 0.0151 0.0237 0.91
99 0.0515 0.0141 0.0223 0.9124
100 0.0513 0.0133 0.021 0.9147
101 0.0512 0.0125 0.0198 0.9168


 number of simulation is --> 24

 S E I R
0 1.0 0.0 0.0003 0.0
1 0.9999 0.0001 0.0003 0.0
2 0.9998 0.0002 0.0003 0.0
3 0.9997 0.0003 0.0003 0.0
4 0.9997 0.0003 0.0003 0.0
5 0.9996 0.0004 0.0003 0.0
6 0.9995 0.0005 0.0003 0.0
7 0.9995 0.0005 0.0003 0.0
8 0.9994 0.0006 0.0003 0.0
9 0.9993 0.0007 0.0003 0.0
10 0.9992 0.0008 0.0003 0.0
